# name    |  phd_institution  | host_institution  | hubble_year | foo
  Donald Garnett    |    University of Texas    |    University of Minnesota    |  1992  |
  Coel Hellier    |    University of London    |    University of Texas    |  1992  |
  Jane Luu    |    Massachusetts Institute of Technology    |    University of California, Berkeley    |  1992  |
  Steven R. Majewski    |    University of Chicago    |    Observatories of the Carnegie Institute of Washington    |  1992  |
  Frederic Rasio    |    Cornell University     |    Princeton, Institute for Advanced Study    |  1992  |
  Kenneth Sembach    |    University of Wisconsin    |    Massachusetts Institute of Technology    |  1992  |
  Sylvain Veilleux    |    University of California, Santa Cruz    |    Kitt Peak National Observatory    |  1992  |
  Donna Womble    |    University of California, San Diego    |    California Institute of Technology    |  1992  |
  Marijn Franx    |    Leiden, Netherlands    |    Center for Astrophysics    |  1991  |
  Suzanne L. Hawley    |    University of Texas    |    Lawrence Livermore National Laboratory    |  1991  |
  Xiaohui Hui    |    Boston University     |    California Institute of Technology    |  1991  |
  Konrad H. Kuijken    |    University of Cambridge    |    Center for Astrophysics    |  1991  |
  Kenneth M. Lanzetta    |    University of Pittsburgh    |    University of California, San Diego    |  1991  |
  Patrick J. McCarthy    |    University of California, Berkeley    |    Observatories of the Carnegie Institute of Washington    |  1991  |
  Heather L. Morrison    |    Australian National University     |    Kitt Peak National Observatory    |  1991  |
  Hans-Walter R. Rix    |    University of Arizona    |    Princeton, Institute for Advanced Study    |  1991  |
  Sean G. Ryan    |    Australian National University     |    University of Texas    |  1991  |
  William D. Vacca    |    University of Colorado    |    University of California, Berkeley    |  1991  |
  Dennis F. Zaritsky    |    University of Arizona    |    Observatories of the Carnegie Institute of Washington    |  1991  |
  Pawel Artymowicz    |     University of Warsaw    |    University of California, Santa Cruz    |  1990  |
  Stefi Baum    |    University of Maryland    |    The Johns Hopkins University     |  1990  |
  Michael Bolte    |    University of Washington    |    University of California, Santa Cruz    |  1990  |
  Paul Callanan    |    University of Galway, Ireland    |    Center for Astrophysics    |  1990  |
  Laura Danly    |    University of Wisconsin    |    Space Telescope Science Institute    |  1990  |
  Andrew Fruchter    |    Princeton University     |    University of California, Berkeley    |  1990  |
  Neal Katz    |    Princeton University    |    Massachusetts Institute of Technology    |  1990  |
  Young-Wook Lee    |    Yale University    |    Yale University    |  1990  |
  Peter Lundqvist    |     University of Lund, Sweden    |    University of Virginia    |  1990  |
  Mario Mateo    |    University of Washington    |    Observatories of the Carnegie Institute of Washington    |  1990  |
  Charles Steidel    |    California Institute of Technology    |    University of California, Berkeley    |  1990  |
  Rene Walterbos    |    Leiden, Netherlands    |    New Mexico State University    |  1990  |
  Qinde Wang    |    Columbia University    |    University of Colorado    |  1990  |
  Janet Wood    |    University of Cambridge    |    University of Texas    |  1990  |
  Brian Yanny    |    University of Chicago    |    Princeton, Institute for Advanced Study | 1990  |
